WORLD:

Rows: 20
Columns: 80
Log Rows: 10
Log Columns: 100
Turn: 73

ORGANISM:

Wolf (11, 13): Age - 72, Strength - 9
Sheep (1, 1): Age - 72, Strength - 4
Sheep (1, 5): Age - 72, Strength - 4
Sheep (2, 3): Age - 41, Strength - 4
Sheep (1, 4): Age - 24, Strength - 4
Sheep (1, 3): Age - 24, Strength - 4
Sheep (3, 5): Age - 23, Strength - 4
Sheep (2, 4): Age - 23, Strength - 4
Sheep (0, 4): Age - 23, Strength - 4
Sheep (4, 7): Age - 22, Strength - 4
Sheep (0, 3): Age - 22, Strength - 4
Sheep (4, 6): Age - 22, Strength - 4
Sheep (3, 2): Age - 21, Strength - 4
Sheep (3, 4): Age - 21, Strength - 4
Sheep (1, 2): Age - 21, Strength - 4
Sheep (2, 5): Age - 21, Strength - 4
Sheep (5, 2): Age - 21, Strength - 4
Sheep (0, 5): Age - 21, Strength - 4
Sheep (0, 2): Age - 21, Strength - 4
Sheep (1, 7): Age - 20, Strength - 4
Sheep (2, 2): Age - 20, Strength - 4
Sheep (4, 5): Age - 20, Strength - 4
Sheep (1, 6): Age - 20, Strength - 4
Sheep (3, 3): Age - 20, Strength - 4
Sheep (2, 1): Age - 20, Strength - 4
Sheep (2, 7): Age - 20, Strength - 4
Sheep (0, 10): Age - 20, Strength - 4
Sheep (0, 0): Age - 20, Strength - 4
Sheep (1, 0): Age - 19, Strength - 4
Sheep (3, 6): Age - 19, Strength - 4
Sheep (4, 4): Age - 19, Strength - 4
Sheep (4, 2): Age - 19, Strength - 4
Sheep (5, 5): Age - 19, Strength - 4
Sheep (4, 3): Age - 19, Strength - 4
Sheep (3, 1): Age - 19, Strength - 4
Sheep (0, 1): Age - 18, Strength - 4
Sheep (0, 6): Age - 18, Strength - 4
Sheep (2, 6): Age - 18, Strength - 4
Sheep (3, 7): Age - 18, Strength - 4
Sheep (5, 6): Age - 18, Strength - 4
Sheep (0, 7): Age - 18, Strength - 4
Sheep (2, 0): Age - 18, Strength - 4
Sheep (5, 4): Age - 18, Strength - 4
Sheep (4, 0): Age - 18, Strength - 4
Sheep (2, 8): Age - 18, Strength - 4
Sheep (1, 8): Age - 18, Strength - 4
Sheep (3, 8): Age - 18, Strength - 4
Sheep (6, 4): Age - 18, Strength - 4
Sheep (4, 1): Age - 18, Strength - 4
Sheep (6, 5): Age - 18, Strength - 4
Sheep (5, 3): Age - 18, Strength - 4
Sheep (5, 7): Age - 17, Strength - 4
Sheep (4, 8): Age - 17, Strength - 4
Sheep (6, 2): Age - 17, Strength - 4
Sheep (2, 9): Age - 17, Strength - 4
Sheep (6, 6): Age - 17, Strength - 4
Sheep (0, 9): Age - 17, Strength - 4
Sheep (3, 9): Age - 17, Strength - 4
Sheep (1, 9): Age - 17, Strength - 4
Sheep (5, 8): Age - 17, Strength - 4
Sheep (7, 4): Age - 17, Strength - 4
Sheep (5, 1): Age - 17, Strength - 4
Sheep (7, 5): Age - 17, Strength - 4
Sheep (8, 1): Age - 17, Strength - 4
Sheep (4, 9): Age - 16, Strength - 4
Sheep (7, 0): Age - 16, Strength - 4
Sheep (3, 0): Age - 16, Strength - 4
Sheep (5, 0): Age - 16, Strength - 4
Sheep (8, 5): Age - 16, Strength - 4
Sheep (6, 7): Age - 16, Strength - 4
Sheep (6, 8): Age - 16, Strength - 4
Sheep (7, 3): Age - 16, Strength - 4
Sheep (2, 10): Age - 16, Strength - 4
Sheep (7, 6): Age - 16, Strength - 4
Sheep (3, 10): Age - 16, Strength - 4
Sheep (1, 10): Age - 16, Strength - 4
Sheep (7, 9): Age - 16, Strength - 4
Sheep (8, 4): Age - 16, Strength - 4
Sheep (6, 3): Age - 15, Strength - 4
Sheep (0, 8): Age - 15, Strength - 4
Sheep (0, 11): Age - 15, Strength - 4
Sheep (8, 7): Age - 15, Strength - 4
Sheep (4, 10): Age - 15, Strength - 4
Sheep (6, 0): Age - 15, Strength - 4
Sheep (9, 5): Age - 15, Strength - 4
Sheep (7, 7): Age - 15, Strength - 4
Sheep (9, 8): Age - 15, Strength - 4
Sheep (2, 14): Age - 15, Strength - 4
Sheep (3, 11): Age - 15, Strength - 4
Sheep (1, 11): Age - 15, Strength - 4
Sheep (9, 4): Age - 15, Strength - 4
Sheep (7, 2): Age - 14, Strength - 4
Sheep (0, 12): Age - 14, Strength - 4
Sheep (5, 9): Age - 14, Strength - 4
Sheep (6, 1): Age - 14, Strength - 4
Sheep (5, 10): Age - 14, Strength - 4
Sheep (4, 11): Age - 14, Strength - 4
Sheep (10, 5): Age - 14, Strength - 4
Sheep (8, 3): Age - 14, Strength - 4
Sheep (9, 6): Age - 14, Strength - 4
Sheep (10, 3): Age - 14, Strength - 4
Sheep (2, 13): Age - 14, Strength - 4
Sheep (10, 6): Age - 14, Strength - 4
Sheep (2, 11): Age - 14, Strength - 4
Sheep (9, 3): Age - 14, Strength - 4
Sheep (8, 6): Age - 13, Strength - 4
Sheep (7, 1): Age - 13, Strength - 4
Sheep (6, 9): Age - 13, Strength - 4
Sheep (9, 0): Age - 13, Strength - 4
Sheep (7, 8): Age - 13, Strength - 4
Sheep (6, 10): Age - 13, Strength - 4
Sheep (8, 2): Age - 13, Strength - 4
Sheep (9, 10): Age - 13, Strength - 4
Sheep (1, 13): Age - 13, Strength - 4
Sheep (9, 7): Age - 13, Strength - 4
Sheep (3, 12): Age - 13, Strength - 4
Sheep (5, 11): Age - 13, Strength - 4
Sheep (6, 13): Age - 13, Strength - 4
Sheep (4, 12): Age - 13, Strength - 4
Sheep (11, 5): Age - 13, Strength - 4
Sheep (11, 6): Age - 13, Strength - 4
Sheep (10, 7): Age - 13, Strength - 4
Sheep (9, 2): Age - 13, Strength - 4
Sheep (9, 1): Age - 12, Strength - 4
Sheep (8, 8): Age - 12, Strength - 4
Sheep (7, 10): Age - 12, Strength - 4
Sheep (1, 12): Age - 12, Strength - 4
Sheep (10, 8): Age - 12, Strength - 4
Sheep (2, 12): Age - 12, Strength - 4
Sheep (10, 4): Age - 12, Strength - 4
Sheep (0, 14): Age - 12, Strength - 4
Sheep (17, 5): Age - 12, Strength - 4
Sheep (11, 3): Age - 12, Strength - 4
Sheep (1, 14): Age - 12, Strength - 4
Sheep (10, 2): Age - 12, Strength - 4
Sheep (8, 0): Age - 12, Strength - 4
Sheep (10, 10): Age - 12, Strength - 4
Sheep (3, 13): Age - 12, Strength - 4
Sheep (5, 13): Age - 12, Strength - 4
Sheep (4, 13): Age - 12, Strength - 4
Sheep (11, 4): Age - 12, Strength - 4
Sheep (11, 7): Age - 12, Strength - 4
Sheep (10, 1): Age - 12, Strength - 4
Sheep (8, 9): Age - 11, Strength - 4
Sheep (6, 11): Age - 11, Strength - 4
Sheep (10, 0): Age - 11, Strength - 4
Sheep (7, 11): Age - 11, Strength - 4
Sheep (9, 11): Age - 11, Strength - 4
Sheep (3, 14): Age - 11, Strength - 4
Sheep (12, 7): Age - 11, Strength - 4
Sheep (8, 11): Age - 11, Strength - 4
Sheep (0, 13): Age - 11, Strength - 4
Sheep (11, 8): Age - 11, Strength - 4
Sheep (13, 3): Age - 11, Strength - 4
Sheep (0, 16): Age - 11, Strength - 4
Sheep (11, 2): Age - 11, Strength - 4
Sheep (4, 14): Age - 11, Strength - 4
Sheep (12, 4): Age - 11, Strength - 4
Sheep (11, 1): Age - 11, Strength - 4
Sheep (9, 9): Age - 10, Strength - 4
Sheep (2, 15): Age - 10, Strength - 4
Sheep (5, 12): Age - 10, Strength - 4
Sheep (11, 0): Age - 10, Strength - 4
Sheep (6, 12): Age - 10, Strength - 4
Sheep (7, 13): Age - 10, Strength - 4
Sheep (12, 5): Age - 10, Strength - 4
Sheep (12, 6): Age - 10, Strength - 4
Sheep (11, 9): Age - 10, Strength - 4
Sheep (5, 14): Age - 10, Strength - 4
Sheep (7, 12): Age - 10, Strength - 4
Sheep (3, 16): Age - 10, Strength - 4
Sheep (13, 7): Age - 10, Strength - 4
Sheep (8, 12): Age - 10, Strength - 4
Sheep (12, 8): Age - 10, Strength - 4
Sheep (12, 2): Age - 10, Strength - 4
Sheep (4, 15): Age - 10, Strength - 4
Sheep (13, 4): Age - 10, Strength - 4
Sheep (12, 1): Age - 10, Strength - 4
Sheep (10, 9): Age - 9, Strength - 4
Sheep (1, 15): Age - 9, Strength - 4
Sheep (6, 14): Age - 9, Strength - 4
Sheep (15, 7): Age - 9, Strength - 4
Sheep (8, 10): Age - 9, Strength - 4
Sheep (12, 3): Age - 9, Strength - 4
Sheep (11, 10): Age - 9, Strength - 4
Sheep (5, 15): Age - 9, Strength - 4
Sheep (10, 11): Age - 9, Strength - 4
Sheep (13, 8): Age - 9, Strength - 4
Sheep (14, 3): Age - 9, Strength - 4
Sheep (12, 0): Age - 9, Strength - 4
Sheep (2, 16): Age - 9, Strength - 4
Sheep (10, 15): Age - 9, Strength - 4
Sheep (13, 5): Age - 9, Strength - 4
Sheep (13, 9): Age - 9, Strength - 4
Sheep (11, 18): Age - 9, Strength - 4
Sheep (9, 12): Age - 9, Strength - 4
Sheep (14, 7): Age - 9, Strength - 4
Sheep (13, 2): Age - 9, Strength - 4
Sheep (3, 15): Age - 9, Strength - 4
Sheep (15, 4): Age - 9, Strength - 4
Sheep (13, 1): Age - 9, Strength - 4
Sheep (7, 14): Age - 8, Strength - 4
Sheep (0, 15): Age - 8, Strength - 4
Sheep (12, 14): Age - 8, Strength - 4
Sheep (1, 16): Age - 8, Strength - 4
Sheep (8, 14): Age - 8, Strength - 4
Sheep (12, 10): Age - 8, Strength - 4
Sheep (4, 16): Age - 8, Strength - 4
Sheep (16, 7): Age - 8, Strength - 4
Sheep (11, 11): Age - 8, Strength - 4
Sheep (5, 16): Age - 8, Strength - 4
Sheep (14, 8): Age - 8, Strength - 4
Sheep (15, 3): Age - 8, Strength - 4
Sheep (13, 0): Age - 8, Strength - 4
